MMSI,Latitude,Longitude,x_coord,y_coord,Type of mobile,Ship type,Navigational status,Heading,Width,Length
211689910.0,54.89676432205606,10.262944830480642,8101,1598,Class B,Pleasure,Unknown value,,4.0,13.0
211690790.0,54.87831127419733,10.599661935510111,10265,1759,Class B,Sailing,Unknown value,,4.0,12.0
211691580.0,54.891363,10.4142,9072,1640,Class B,Sailing,Unknown value,,3.0,10.0
211695580.0,54.420178897959175,10.283509387755425,8330,6898,Class B,Sailing,Unknown value,,4.0,14.0
211698650.0,54.87140064518292,9.627922419352497,4031,1935,Class B,Sailing,Unknown value,,4.0,11.0
211700070.0,54.654046813531615,10.046250881368596,6752,4322,Class B,Sailing,Unknown value,,4.0,14.0
211703500.0,54.89694,9.617013,3959,1652,Class B,Sailing,Unknown value,,5.0,16.0
211708030.0,54.8027932499887,9.947733250005134,6094,2676,Class B,Pleasure,Unknown value,,3.0,9.0
211709300.0,54.91267920002226,10.067431299980889,6844,1442,Class B,Sailing,Unknown value,,4.0,11.0
211709630.0,54.9030927287981,10.419066864404947,9101,1509,Class B,Pleasure,Unknown value,,,
211714860.0,54.89955441380349,10.540337586189525,9879,1531,Class B,Sailing,Unknown value,,4.0,12.0
211714980.0,54.686011592232944,9.986832660194123,6363,3972,Class B,Sailing,Unknown value,,4.0,12.0
211715330.0,54.75543726664469,10.405685333304657,9048,3153,Class B,Sailing,Unknown value,,4.0,12.0
211716900.0,54.989623,10.091515,6985,583,Class B,Sailing,Unknown value,,3.0,10.0
211725330.0,54.847682,10.523808,9786,2111,Class B,Sailing,Unknown value,,3.0,9.0
211726280.0,54.794794000015635,9.955230333301445,6143,2764,Class B,Sailing,Unknown value,,4.0,12.0
211729220.0,54.761450999971615,10.49617866665569,9629,3074,Class B,Sailing,Unknown value,254.0,3.0,10.0
211731030.0,54.47258649180337,9.038420229508029,250,6391,Class A,Law enforcement,Moored,257.2131147669981,7.0,23.0
211731290.0,54.96110649998816,10.113820000002677,7133,898,Class B,Sailing,Unknown value,,3.0,10.0
211733580.0,54.403753,10.217993,7908,7089,Class B,Sailing,Unknown value,,4.0,13.0
211734300.0,54.855825127659024,9.553569691489944,3555,2113,Class B,Pleasure,Unknown value,,1.0,11.0
211735840.0,54.65562,10.67132,10784,4226,Class B,Sailing,Unknown value,,4.0,11.0
211736620.0,54.84678523331874,9.881557800015027,5662,2192,Class B,Pleasure,Unknown value,,5.0,16.0
211736820.0,54.79471,9.434024421052865,2792,2798,Class A,Sailing,Under way using engine,,5.0,16.0
211739600.0,54.869262622963774,9.820270245928134,5266,1946,Class B,Pleasure,Unknown value,,4.0,14.0
211743370.0,54.78835850002185,10.079597500009584,6944,2824,Class B,Sailing,Unknown value,,8.0,13.0
211744440.0,55.024926103450035,10.680075586168469,10742,116,Class B,Sailing,Unknown value,,4.0,12.0
211745240.0,54.581617706994585,10.024417841382602,6622,5130,Class B,Pleasure,Unknown value,,2.0,8.0
211745610.0,54.582438,10.024582,6623,5121,Class B,Sailing,Unknown value,,3.0,10.0
211748480.0,54.71023272412401,10.691163741359944,10897,3616,Class B,Sailing,Unknown value,,4.0,12.0
211749970.0,55.020337,10.225138,7834,227,Class B,Sailing,Unknown value,,3.0,11.0
211750470.0,55.04234591324199,9.705497739725972,4510,28,Class B,Pleasure,Unknown value,99.0,3.0,9.0
211752730.0,54.478292058823236,10.244880630255203,8068,6256,Class B,Pleasure,Unknown value,,6.0,26.0
211755190.0,54.745242,10.082782,6972,3303,Class B,Sailing,Unknown value,,4.0,11.0
211755300.0,54.85509609757081,9.900192878011778,5781,2098,Class B,Sailing,Unknown value,,4.0,12.0
211756740.0,54.4359282720587,10.170783566176423,7595,6736,Class B,Sailing,Unknown value,,4.0,12.0
211757640.0,54.52163461768269,10.290489558854693,8354,5769,Class B,Sailing,Unknown value,,4.0,11.0
211762210.0,54.913543,9.781533,5012,1456,Class B,Sailing,Unknown value,,4.0,11.0
211762800.0,54.59003799999188,10.458750999987624,9427,4986,Class B,Pleasure,Unknown value,,4.0,13.0
211763070.0,54.744472870985675,10.100763774214476,7087,3310,Class B,Pleasure,Unknown value,,4.0,12.0
211766830.0,54.92875866665832,10.321975666671317,8473,1235,Class B,Sailing,Unknown value,,3.0,10.0
211767710.0,54.97450868964099,9.751460931045894,4811,780,Class B,Sailing,Unknown value,,4.0,13.0
211769770.0,54.81266033333167,10.517973333314806,9757,2501,Class B,Sailing,Unknown value,262.7666666794444,5.0,15.0
211771710.0,54.50895175828989,10.01534584616781,6575,5939,Class B,Pleasure,Unknown value,,4.0,13.0
211772740.0,54.67502546235039,10.074458731205015,6930,4086,Class B,Sailing,Unknown value,,4.0,15.0
211775540.0,54.88001,10.156972,7424,1796,Class B,Pleasure,Unknown value,,3.0,11.0
211775770.0,54.829478999999964,9.843547500020083,5420,2387,Class B,Sailing,Unknown value,90.00000003333334,4.0,12.0
211779520.0,54.60351784665293,10.31556966665789,8500,4855,Class B,Sailing,Unknown value,,4.0,12.0
211783270.0,54.582267,10.026083,6633,5122,Class A,SAR,Under way using engine,129.7750000240625,3.0,10.0
211785340.0,55.04382955555562,9.705067511111153,4507,12,Class B,Pleasure,Unknown value,,2.0,8.0
211786080.0,54.90194765518654,10.192183689653127,7646,1548,Class B,Sailing,Unknown value,,,
211787430.0,54.75826178569083,10.08786857142023,7002,3158,Class B,Sailing,Unknown value,,4.0,12.0
211788390.0,54.633670384619656,9.930515,6008,4559,Class B,Pleasure,Unknown value,,4.0,13.0
211789940.0,54.750562,10.6562,10661,3172,Class B,Sailing,Unknown value,80.0,4.0,13.0
211791890.0,54.56786953844952,10.16159976923424,7512,5269,Class B,Sailing,Unknown value,,4.0,14.0
211793030.0,54.801767,9.428967,2759,2720,Class B,Sailing,Unknown value,,4.0,11.0
211793050.0,55.00867730000041,9.791714333335127,5065,397,Class B,Pleasure,Unknown value,,6.0,20.0
211793650.0,54.903398,10.629498,10450,1476,Class B,Sailing,Unknown value,,4.0,11.0
211795940.0,54.89363024999046,9.607004249971054,3895,1689,Class B,Sailing,Unknown value,,3.0,11.0
211796430.0,54.472708,9.035422887640562,231,6390,Class A,Anti-pollution,Moored,345.0,7.0,22.0
211797130.0,54.399345945652385,10.213037554348071,7876,7138,Class B,Sailing,Unknown value,,4.0,13.0
211797280.0,55.00142681480819,9.704539481484092,4508,484,Class B,Pleasure,Unknown value,,3.0,9.0
211797460.0,54.6642077692187,9.938391846139234,6054,4218,Class A,Other,Under way using engine,,9.0,24.0
211798910.0,54.810328,9.454607,2923,2624,Class B,Sailing,Unknown value,,4.0,17.0
211800420.0,54.66060914285709,10.021046714285633,6588,4251,Class A,SAR,Under way using engine,24.0,5.0,20.0
211804470.0,54.99929613793193,10.325872137939685,8483,450,Class B,Sailing,Unknown value,,4.0,12.0
211805830.0,54.69597474586723,10.698488552474457,10948,3773,Class B,Sailing,Unknown value,,4.0,12.0
211807400.0,54.65572567744603,10.119031387071425,7221,4296,Class B,Pleasure,Unknown value,330.7741935608741,3.0,10.0
211807610.0,55.044278,9.705157,4507,7,Class B,Pleasure,Unknown value,,3.0,8.0
211812190.0,54.781197333380156,10.21261113333486,7800,2890,Class B,Pleasure,Unknown value,,4.0,12.0
211812240.0,54.67221428572413,10.032944890104375,6663,4121,Class B,Sailing,Unknown value,,4.0,10.0
211812780.0,54.631389999967276,10.132244636380669,7310,4565,Class A,Pleasure,Under way using engine,162.18181825619834,4.0,16.0
211815950.0,54.72268617242039,10.013469379323357,6529,3561,Class B,Pleasure,Unknown value,,3.0,10.0
211817550.0,54.81119299995778,9.758427000115667,4876,2597,Class B,Pleasure,Unknown value,,1.0,9.0
211818650.0,55.032889677418545,10.304123935496483,8337,79,Class B,Pleasure,Unknown value,,3.0,12.0
211819590.0,54.854852,10.522335,9774,2031,Class B,Sailing,Unknown value,,6.0,11.0
211820390.0,54.90166951665204,10.087593816664436,6976,1562,Class B,Sailing,Unknown value,,4.0,12.0
211822060.0,54.85350079308835,9.769608344824988,4942,2125,Class B,Sailing,Unknown value,,4.0,132.0
211822130.0,54.833912,9.7538,4843,2345,Class B,Sailing,Unknown value,215.0,,
211822150.0,54.91508284946254,9.78185103225795,5013,1439,Class B,Pleasure,Unknown value,,4.0,12.0
211823160.0,54.99856217242535,9.731281206847525,4680,514,Class B,Pleasure,Unknown value,,6.0,24.0
211823970.0,54.79046048912193,9.968589195658437,6230,2811,Class B,Pleasure,Unknown value,148.32608686224006,3.0,10.0
211826280.0,54.83249063415587,9.440373975641487,2830,2377,Class A,Passenger,Under way using engine,,6.0,31.0
211831700.0,55.0367339354838,9.425280419352342,2719,105,Class B,Pleasure,Unknown value,,3.0,14.0
211833940.0,54.777424885227575,9.981818229510882,6317,2955,Class B,Sailing,Unknown value,,4.0,8.0
211834980.0,54.81141616667026,10.211469199947214,7787,2554,Class B,Pleasure,Unknown value,298.30000006166665,4.0,14.0
211835760.0,54.401752,10.215712,7893,7111,Class B,Sailing,Unknown value,,2.0,12.0
211837470.0,54.438643000014544,10.313232909047361,8519,6689,Class B,Pleasure,Unknown value,,4.0,11.0
211838110.0,54.840838096759256,9.904312967765614,5809,2256,Class B,Pleasure,Unknown value,,,
211842370.0,54.897288,9.617783,3963,1648,Class B,Sailing,Unknown value,,4.0,11.0
211844610.0,54.506584200016064,9.588200200109545,3810,5997,Class B,Sailing,Unknown value,69.73333342111111,3.0,10.0
211844690.0,54.80929711234506,10.112731247184925,7153,2588,Class B,Sailing,Unknown value,,4.0,11.0
211844840.0,54.897012,9.618273,3967,1651,Class B,Sailing,Unknown value,,4.0,11.0
211845690.0,55.0382232820592,10.286719999946154,8224,21,Class B,Sailing,Unknown value,,4.0,11.0
211845930.0,54.90605,9.888938,5701,1532,Class B,Pleasure,Unknown value,,6.0,22.0
211847550.0,54.58984627583718,10.340163344809254,8661,5004,Class B,Pleasure,Unknown value,,3.0,11.0
211848130.0,54.32352232583797,10.14627314605136,7457,7989,Class A,Passenger,Under way using engine,212.51685360131296,9.0,34.0
211849980.0,54.82451094736834,9.49566360150316,3186,2464,Class B,Pleasure,Unknown value,,4.0,14.0
211851540.0,54.85508803447831,10.047697310324736,6727,2085,Class B,Sailing,Unknown value,,3.0,9.0
211853460.0,54.86757559980272,10.522607199733839,9773,1890,Class B,Pleasure,Unknown value,200.99999579999917,4.0,11.0
211855000.0,54.190467019892075,9.522393054686502,3410,9518,Class A,Cargo,Under way using engine,248.63681591722977,20.0,160.0
211856270.0,54.937567,10.477817,9469,1117,Class B,Sailing,Unknown value,,2.0,10.0
211859040.0,54.800800133328174,9.953904000005366,6134,2697,Class B,Sailing,Unknown value,132.39999984666667,4.0,12.0
211865360.0,54.693308,10.298317,8370,3858,Class B,Pleasure,Unknown value,,4.0,14.0
211865680.0,54.31375229247905,10.133780027855147,7377,8099,Class A,Passenger,Moored,286.9721448522901,9.0,34.0
211868460.0,54.84960869998268,10.120865466656808,7198,2138,Class B,Sailing,Unknown value,195.0,4.0,11.0
211869150.0,54.847582,10.524412,9789,2112,Class B,Pleasure,Unknown value,,4.0,12.0
211871560.0,54.809487,9.453758,2918,2633,Class B,Sailing,Unknown value,,4.0,17.0
211873210.0,54.8582522307699,9.570488076924736,3664,2085,Class B,Pleasure,Unknown value,,5.0,18.0
211897000.0,54.33968453213614,10.16002730994095,7543,7808,Class A,,Under way using engine,,8.0,28.0
215000425.0,54.99533520000866,9.74303519996926,4755,549,Class B,Pleasure,Unknown value,,6.0,24.0
218715000.0,54.943417,10.25645460305334,8050,1080,Class A,Cargo,Moored,288.11450381003436,12.0,58.0
219000141.0,54.942765181818224,10.256967999999913,8053,1087,Class A,Dredging,Moored,254.0,10.0,58.0
219000178.0,55.04215125301206,9.423138746987943,2705,45,Class A,Military,Moored,0.0,6.0,25.0
219000606.0,55.0193119999671,10.00415109997809,6422,261,Class A,Passenger,Under way using engine,197.30000006999998,12.0,70.0
219000647.0,55.042326375000705,9.423282624999297,2706,43,Class A,Other,Under way using engine,272.0,5.0,15.0
219000674.0,55.0301140000276,10.545661600061841,9881,78,Class A,Passenger,Under way using engine,52.0,18.0,50.0
219000733.0,54.941725,10.259602454545405,8070,1098,Class A,Passenger,Under way using engine,152.0,11.0,47.0
219000742.0,54.96585719999992,10.4371639999996,9202,808,Class A,Passenger,Under way using engine,318.0,10.0,31.0
219000836.0,55.00836649997212,10.5077599999925,9644,325,Class A,Passenger,Under way using engine,187.0,15.0,60.0
219001218.0,54.85447282592591,10.522519907407462,9776,2036,Class A,Other,Moored,170.5962962985048,6.0,34.0
219001431.0,55.00478842856066,9.683857285680816,4375,448,Class A,Passenger,Under way using engine,234.57142848979592,14.0,54.0
219001647.0,54.583368,9.820797363634515,5306,5127,Class A,Dredging,Under way using engine,241.0,8.0,36.0
219001821.0,55.013487000001994,10.676658000014621,10723,244,Class B,Pleasure,Unknown value,,,13.0
219002468.0,54.586097,9.822523,5317,5097,Class B,Sailing,Unknown value,,4.0,10.0
219002743.0,54.8547660220994,10.522298149171455,9774,2032,Class A,SAR,Moored,,4.0,15.0
219003188.0,55.04173258241758,9.703527824175792,4497,35,Class B,Sailing,Unknown value,,3.0,9.0
219003217.0,54.86317433329645,9.513328333261777,3296,2033,Class A,Cargo,Under way using engine,243.0,4.0,15.0
219004069.0,55.03776,9.424565,2715,94,Class B,Sailing,Unknown value,,,
219004668.0,54.938658,10.705102,10925,1072,Class B,Pleasure,Unknown value,,4.0,16.0
219004995.0,54.94183396551772,10.712041137930376,10968,1035,Class B,Sailing,Unknown value,,3.0,10.0
219005347.0,54.940655,10.711123,10963,1049,Class B,Sailing,Unknown value,,3.0,9.0
219005511.0,54.8373100000018,10.27711339999916,8204,2258,Class A,Fishing,Under way using engine,42.199999880000014,5.0,12.0
219007314.0,54.75090780898867,10.670463977528124,10753,3166,Class A,Fishing,Moored,42.24719101546522,4.0,12.0
219007543.0,55.04358095580059,9.70115511049663,4482,15,Class B,Pleasure,Unknown value,,4.0,12.0
219007705.0,55.035332,9.424897,2717,121,Class A,Cargo,Under way using engine,,6.0,16.0
219009172.0,54.866374408845836,10.521997696133452,9769,1903,Class B,Pleasure,Unknown value,,3.0,11.0
219010311.0,54.965577,10.436488,9198,811,Class B,Sailing,Unknown value,,4.0,13.0
219011166.0,54.89808065517165,9.7942821379229,5095,1628,Class B,Pleasure,Unknown value,,4.0,11.0
219012386.0,54.82271439560441,9.47169055494496,3032,2485,Class B,Sailing,Unknown value,,3.0,10.0
219012566.0,55.037008,9.423337,2707,102,Class B,Pleasure,Unknown value,,4.0,10.0
219013426.0,55.033810200000026,10.542001000000075,9857,37,Class B,Pleasure,Unknown value,,4.0,14.0
219014009.0,54.88367477776793,10.618299222177068,10383,1697,Class B,Sailing,Unknown value,,4.0,11.0
219014072.0,54.91864961538813,9.597540307694054,3832,1411,Class B,Sailing,Unknown value,1609.6152610295949,4.0,16.0
219014759.0,55.010378,10.675165,10714,279,Class B,Pleasure,Unknown value,,3.0,9.0
219015822.0,54.90701,9.889967,5708,1521,Class B,Pleasure,Unknown value,,4.0,13.0
219015915.0,54.912317,9.601477,3857,1482,Class B,Sailing,Unknown value,,4.0,13.0
219016554.0,54.91820086205256,10.13356224137182,7267,1374,Class B,Sailing,Unknown value,,4.0,11.0
219016645.0,54.85767787501065,10.52243368749724,9774,2000,Class B,Pleasure,Unknown value,,4.0,13.0
219017382.0,54.849738,10.523693607734813,9784,2088,Class B,Pleasure,Unknown value,,3.0,8.0
219017917.0,54.937635,10.702788,10910,1084,Class A,Passenger,Under way using engine,172.39999994,12.0,38.0
219018207.0,54.82645650000301,9.882190214244757,5669,2418,Class B,Sailing,Unknown value,,4.0,11.0
219019379.0,55.03239062068978,10.375835793078302,8795,75,Class B,Sailing,Unknown value,,7.0,12.0
219019907.0,54.940578,10.710437,10959,1050,Class B,SAR,Unknown value,,2.0,7.0
219020450.0,54.97631085718276,9.748216285704311,4791,760,Class B,Pleasure,Unknown value,,,
219020547.0,54.89837466666696,9.792441666666585,5083,1624,Class B,Sailing,Unknown value,,4.0,11.0
219020885.0,54.942563,10.710622,10959,1028,Class B,Pleasure,Unknown value,,5.0,15.0
219021382.0,54.92661,10.499075,9608,1236,Class B,Sailing,Unknown value,,4.0,11.0
219022789.0,55.01341166673022,9.671415833160694,4295,353,Class B,Pleasure,Unknown value,,4.0,12.0
219022888.0,55.01914096874694,10.683735812523194,10766,180,Class B,Sailing,Unknown value,,3.0,12.0
219023295.0,55.023965,10.277278,8167,181,Class B,Sailing,Unknown value,,2.0,9.0
219023531.0,54.99486420001584,9.9862880000102,6311,535,Class A,Passenger,Under way using engine,21.399999879999974,13.0,60.0
219024881.0,55.04233463157856,9.70478042105097,4505,29,Class B,Pleasure,Unknown value,,4.0,14.0
219024898.0,54.91884070815437,9.597802656652428,3833,1409,Class B,Pleasure,Unknown value,,4.0,10.0
219024947.0,55.03791728409102,9.423380272727133,2707,92,Class B,Pleasure,Unknown value,,4.0,10.0
219025076.0,54.981164162191796,10.47841227031662,9463,632,Class B,Sailing,Unknown value,47.770270097699054,4.0,10.0
219025090.0,54.92728687234038,10.499085595744782,9608,1229,Class B,Sailing,Unknown value,,4.0,10.0
219025188.0,55.03352412643664,10.539939011493988,9844,41,Class B,Pleasure,Unknown value,,4.0,13.0
219025192.0,54.9659483571618,10.25312235710019,8024,829,Class B,Pleasure,Unknown value,,4.0,12.0
219025298.0,54.992788,9.986758,6315,558,Class B,Other,Unknown value,,5.0,12.0
219026197.0,54.91134499994267,10.657665333271112,10628,1383,Class A,Passenger,Under way using engine,212.66666622222206,13.0,50.0
219026348.0,55.03600044067805,9.423518949152442,2708,114,Class B,Sailing,Unknown value,,4.0,12.0
219026976.0,55.01252785713985,10.52586296429582,9759,276,Class B,Sailing,Unknown value,,4.0,14.0
219027999.0,54.92710816130674,10.419869258077863,9100,1241,Class B,Pleasure,Unknown value,,4.0,12.0
219028079.0,54.89324635195533,10.409454134078178,9041,1619,Class B,Fishing,Unknown value,,2.0,6.0
219028144.0,54.94200623333332,10.711175,10963,1034,Class B,Sailing,Unknown value,,4.0,11.0
219028885.0,55.043997999998126,9.705197999996125,4508,10,Class B,Sailing,Unknown value,,4.0,12.0
219029267.0,54.94187449162007,10.711553972067078,10965,1035,Class B,Pleasure,Unknown value,,4.0,14.0
219029287.0,54.848817,10.524478,9790,2098,Class B,Pleasure,Unknown value,,3.0,18.0
219029340.0,54.891633,10.426635,9152,1635,Class B,Pleasure,Unknown value,,,
219029577.0,54.729630819972925,10.67327094004154,10777,3402,Class A,Pilot,Under way using engine,,4.0,10.0
219029917.0,55.014267,10.485922,9503,263,Class B,Sailing,Unknown value,,5.0,16.0
219030272.0,54.94097013559312,10.710469915254619,10959,1045,Class B,Pleasure,Unknown value,,,
219030656.0,54.75111,10.671502,10759,3164,Class A,Pilot,Moored,335.0,4.0,15.0
219501000.0,54.919062,9.59907,3841,1407,Class B,Sailing,Unknown value,,,
219531000.0,54.851243,10.523938,9786,2071,Class B,Sailing,Unknown value,,4.0,16.0
219735000.0,54.963202,9.835312,5350,900,Class B,Pleasure,Unknown value,,5.0,19.0
219850000.0,55.025984900007494,9.97193589996829,6215,190,Class A,Tug,Under way using engine,290.0,9.0,33.0
230648000.0,55.041868,9.426942,2730,48,Class A,Cargo,Moored,281.0,11.0,74.0
232012262.0,54.84938,10.524705,9791,2092,Class B,Pleasure,Unknown value,,3.0,11.0
232016967.0,54.978806771750094,9.748735532618277,4794,733,Class B,Sailing,Unknown value,,4.0,11.0
232026558.0,54.96497213793687,10.279079896525237,8190,837,Class B,Sailing,Unknown value,,4.0,13.0
232040682.0,54.87441906667093,9.560521966693667,3598,1905,Class B,Pleasure,Unknown value,,4.0,12.0
244000775.0,54.400105,10.21384,7881,7130,Class B,Pleasure,Unknown value,,3.0,
244000881.0,54.99778150000681,9.72283109995435,4626,523,Class B,Sailing,Unknown value,,2.0,10.0
244000885.0,55.034977,10.64452,10512,10,Class B,Sailing,Unknown value,,4.0,13.0
244010221.0,54.577167,10.101967,7124,5172,Class B,Sailing,Unknown value,,3.0,10.0
244012043.0,54.411425199977494,10.20909806665063,7849,7004,Class B,Sailing,Unknown value,,4.0,11.0
244013150.0,54.96979869999781,9.799563250021937,5120,829,Class B,Sailing,Unknown value,103.05000018416666,3.0,10.0
244020808.0,54.36512277500209,10.145185699988511,7442,7526,Class A,Cargo,Under way using engine,285.4833333270139,13.0,98.0
244026049.0,54.80959554839209,10.167921096738015,7508,2579,Class B,Sailing,Unknown value,,4.0,12.0
244030128.0,54.56525059991706,10.41011059980156,9119,5269,Class B,Pleasure,Unknown value,,3.0,10.0
244030605.0,54.81429233333766,10.405335333297778,9032,2498,Class B,Sailing,Unknown value,,4.0,12.0
244050272.0,54.587693,10.406892,9093,5019,Class B,Sailing,Unknown value,,4.0,12.0
244050829.0,54.625008218709226,10.13457443752192,7327,4636,Class B,Sailing,Unknown value,,4.0,11.0
244051522.0,54.61800422573364,10.106223903296167,7145,4717,Class B,Sailing,Unknown value,75.25806721748172,3.0,11.0
244058485.0,54.219665293597444,9.593686831900222,3873,9189,Class B,Sailing,Unknown value,,4.0,13.0
244060372.0,54.899315,9.79309,5087,1614,Class B,Sailing,Unknown value,,4.0,13.0
244060493.0,54.829902302158324,9.503234122302354,3234,2404,Class B,Sailing,Unknown value,,4.0,15.0
244090003.0,55.040076571406374,10.215457142870077,7769,9,Class B,Sailing,Unknown value,,5.0,16.0
244090146.0,54.694366655162426,10.069954586204842,6898,3871,Class B,Sailing,Unknown value,,4.0,13.0
244090308.0,54.849028,10.523467,9783,2096,Class B,Sailing,Unknown value,,5.0,12.0
244090319.0,54.450803793092476,10.267679896530723,8221,6559,Class B,Sailing,Unknown value,,4.0,12.0
244121150.0,54.601745,10.173208,7580,4891,Class B,Sailing,Unknown value,,4.0,12.0
244134776.0,54.914649250010974,10.516205624977989,9721,1367,Class B,Sailing,Unknown value,,3.0,11.0
244170617.0,54.898447,10.397393,8963,1563,Class B,Sailing,Unknown value,63.0,4.0,13.0
244615552.0,54.991478,10.202367,7694,551,Class B,Sailing,Unknown value,,4.0,11.0
244620050.0,54.41950409995497,10.222031466642017,7931,6913,Class B,Pleasure,Unknown value,,4.0,12.0
244620101.0,54.987082169503815,9.74911454237625,4795,640,Class B,Pleasure,Unknown value,,5.0,24.0
244620241.0,54.984793862057785,10.219493344852081,7805,624,Class B,Sailing,Unknown value,121.0,3.0,10.0
244650977.0,54.889745,9.709422,4552,1726,Class B,Sailing,Unknown value,,4.0,12.0
244670524.0,54.57603591665215,10.224745333334694,7918,5171,Class B,Pleasure,Unknown value,174.5833333236111,4.0,12.0
244780000.0,54.51121640001736,10.402828000082,9084,5871,Class A,Cargo,Under way using engine,71.79999992,13.0,95.0
244790634.0,54.74474434371939,10.445429406224237,9306,3267,Class B,Sailing,Unknown value,,4.0,13.0
244820971.0,54.8839502812351,10.113169656243645,7143,1757,Class B,Sailing,Unknown value,,3.0,13.0
244860523.0,54.967798,10.325983,8490,800,Class B,Sailing,Unknown value,,,
247353700.0,54.326017,10.147883,7467,7961,Class A,Passenger,Moored,31.0,50.0,304.0
249657000.0,54.46675233333276,10.358582199973826,8807,6371,Class B,Sailing,Unknown value,,4.0,15.0
255806511.0,54.33298923331036,9.732339599951848,4764,7920,Class A,Cargo,Under way using engine,230.0,16.0,153.0
259222000.0,54.318255,10.141357827586194,7426,8048,Class A,Passenger,Moored,39.0,36.0,224.0
265411000.0,54.369815,10.114412,7241,7477,Class A,Cargo,Under way using engine,285.0,24.0,170.0
265685870.0,54.6629572881303,9.936049237282132,6039,4233,Class B,Sailing,Unknown value,,4.0,11.0
265689300.0,54.942167,10.710263,10957,1032,Class B,Sailing,Unknown value,,3.0,8.0
265801930.0,55.013822,10.470275,9403,270,Class B,Pleasure,Unknown value,,3.0,10.0
265813810.0,55.011748818245984,10.69026809095828,10810,261,Class B,Pleasure,Unknown value,,4.0,11.0
269104730.0,54.88967,9.918653,5894,1711,Class B,Sailing,Unknown value,,4.0,13.0
269105340.0,54.86720848889014,10.521233327776924,9764,1894,Class B,Sailing,Unknown value,,4.0,14.0
269105760.0,55.035438466665944,9.424221466656881,2713,120,Class B,Sailing,Unknown value,,4.0,12.0
269114860.0,54.86680159260679,9.625333407406245,4015,1987,Class B,Pleasure,Unknown value,,4.0,14.0
269115430.0,54.99592033332882,9.753712333350023,4823,542,Class B,Pleasure,Unknown value,,2.0,8.0
269116690.0,55.039342,10.301737,8320,7,Class B,Sailing,Unknown value,,3.0,7.0
275496000.0,54.54427208474596,10.314072135593278,8502,5514,Class A,Cargo,At anchor,123.11864408541607,18.0,91.0
275519000.0,54.49949954544159,10.290161454500959,8357,6015,Class A,Cargo,Under way using engine,239.45454532231406,14.0,99.0
304010515.0,54.470295373626236,9.035827472527503,234,6417,Class A,Cargo,Moored,157.0,16.0,97.0
305661000.0,54.366767400003035,10.13752459997496,7392,7509,Class A,Cargo,Under way using engine,283.0,12.0,82.0
308924000.0,54.39439023811594,10.20315014286747,7813,7194,Class A,Cargo,Under way using engine,13.523809498866214,12.0,83.0
312339000.0,54.795612,9.432537,2782,2788,Class A,Pleasure,Moored,162.0,7.0,53.0
367562240.0,54.79819820001206,9.4354560000003,2801,2759,Class B,Sailing,Unknown value,357.40000002,3.0,11.0
636092240.0,54.31949889998282,9.712715999996384,4637,8071,Class A,Cargo,Under way using engine,184.19999995333333,21.0,155.0
636092297.0,54.34468177772908,9.755644888792766,4914,7788,Class A,Cargo,Under way using engine,228.0,15.0,115.0
